Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2020-05-18,272.5898742675781,278.49959615426013,271.34475069414026,277.34739817580635,4015100
2020-05-19,268.5851135253906,273.7700627965968,268.427165484741,270.15546300386353,3059400
2020-05-20,267.6000671386719,272.1624385897153,266.4014205938956,272.1624385897153,3200600
2020-05-21,266.59661865234375,269.5886420274048,264.75679352560735,265.7882196647665,3604900
2020-05-22,269.4120178222656,269.69076623899053,264.62664762242713,266.9589183274499,2922800
2020-05-26,274.0115661621094,276.00003770787504,271.7907664590421,275.5075632653196,4567800
2020-05-27,282.2627868652344,282.29066170262166,270.2110739817856,276.3623955486575,5618900
2020-05-28,282.4486999511719,287.7358460045329,281.8168512605793,284.288524692862,4387700
2020-05-29,283.2663879394531,286.53715898595533,279.549591058783,283.1455875037258,6251500
2020-06-01,284.2699279785156,284.3164049565079,279.2801323986306,282.4951539567938,2894000
2020-06-02,284.6230163574219,286.2862909335766,280.36729632391115,283.94469070511263,2756800
2020-06-03,283.73101806640625,288.1632886148335,281.3057930953293,286.0540163666766,4360000
2020-06-04,276.9757385253906,282.91333617088014,273.45409329455913,281.7146610315575,4374300
2020-06-05,289.7708740234375,292.0288220361047,279.22445387138737,282.47665216939026,5554300
2020-06-08,287.568603515625,293.47829732783526,286.12832761681324,286.7880795228941,4635500
2020-06-09,287.3177185058594,290.5141664875961,285.57081921852495,287.95886831571966,3061500
2020-06-10,284.1026916503906,288.3398382744812,281.41729200842775,287.06683974515704,3296100
2020-06-11,263.6417236328125,281.88188179770856,260.91914817350164,281.88188179770856,6638900
2020-06-12,264.961181640625,273.2775269354942,258.96786301331235,270.0717779240409,5416800
2020-06-15,266.0110778808594,266.6801022682125,254.33104011523275,258.33588537551685,4494600
2020-06-16,272.2554016113281,276.50184932266563,267.08905564452624,274.5226502277707,4245400
2020-06-17,271.88372802734375,274.2067263386558,270.6107294898508,274.2067263386558,2538000
2020-06-18,270.843017578125,271.12176602063164,266.30852053393863,269.8673413155283,2926600
2020-06-19,271.7855529785156,276.71285498399317,271.47760906275556,274.7624675733922,5172800
2020-06-22,273.1199645996094,273.4279084161965,267.13814243486286,270.4323410114324,2174100
2020-06-23,277.7206726074219,279.2884437308244,271.6268701345779,274.3704838400521,4023400
2020-06-24,269.86309814453125,277.25406368532845,266.49425570762975,274.35179333820275,3399900
2020-06-25,276.4328308105469,276.95542114790135,266.95150422291425,269.0232118027971,3112500
2020-06-26,267.716796875,276.7688325116674,266.72760576285555,275.4250488234502,5043200
2020-06-29,270.4043884277344,272.7560451958223,267.47412299410314,269.18189713585497,2356700
2020-06-30,275.24774169921875,276.6475436841701,268.44469607822276,269.2939126999119,2932900
2020-07-01,277.842041015625,280.3336726075397,275.5183503483591,276.0689357131606,2303800
2020-07-02,278.3366394042969,282.8346481967636,277.3287660138194,280.427001282258,1971700
2020-07-06,282.58270263671875,283.2172727290033,279.33515163889615,282.76001317412846,2395000
2020-07-07,276.83416748046875,283.28259205638346,276.1809436401239,280.57631390856784,2075700
2020-07-08,278.429931640625,280.7722760627056,275.9289589427081,277.487417674951,1987400
2020-07-09,271.71087646484375,278.6072188195694,268.2953565088461,275.3876916288883,3061700
2020-07-10,271.77618408203125,274.58510020791323,267.9220587345456,274.58510020791323,2391600
2020-07-13,279.6897277832031,284.1784233427657,272.2801078681202,272.57873909147327,4263300
2020-07-14,287.9112548828125,289.0497616082086,276.8901498058672,277.91667693188725,4234900
2020-07-15,283.75848388671875,289.93627101646894,278.7098621877529,281.0055290698961,5116900
2020-07-16,286.6326904296875,290.08554562942254,282.90922743638356,284.6356550362511,3844500
2020-07-17,286.05413818359375,290.1975534348494,285.7928430091469,288.44313077254714,3016500
2020-07-20,283.18927001953125,287.98593856618606,282.1814251053984,286.29684642294325,2375500
2020-07-21,284.7290344238281,286.4927985473668,282.86263182742834,284.6543908507513,2340200
2020-07-22,286.22216796875,286.4088196237714,281.64948721116593,284.4957398364561,1935800
2020-07-23,282.7319641113281,287.8925655243535,281.1455107054774,287.6126165605163,2367700
2020-07-24,280.6976318359375,283.9544953157406,279.24184006118605,283.06794267385294,2415700
2020-07-27,278.6539001464844,281.94809943401685,277.5060523515833,278.49524340252225,2060500
2020-07-28,279.89501953125,281.2668263876067,277.3567112146933,277.9913096531122,2257400
2020-07-29,286.19415283203125,289.0590875076747,279.96037531009654,281.3228411624739,2672700
