Date,Price,Close,High,Low,Open,Volume,Daily Return,Price Range,Volume Change
90,2020-05-12,172.80999755859375,175.7100067138672,172.72999572753906,175.1999969482422,6470900,-0.01047870955938146,2.980010986328125,-0.2993600918176208
91,2020-05-13,170.57000732421875,172.61000061035156,169.44000244140625,172.0,10258900,-0.012962156507267508,3.1699981689453125,0.5853899766647608
92,2020-05-14,170.92999267578125,171.39999389648438,167.0399932861328,168.8000030517578,7013600,0.0021104844703339065,4.3600006103515625,-0.31633995847508023
93,2020-05-15,169.25,170.66000366210938,168.52000427246094,169.82000732421875,5937500,-0.009828542372711913,2.1399993896484375,-0.15343047792859588
94,2020-05-18,175.4600067138672,176.8699951171875,172.30999755859375,174.0,7458900,0.036691324749584586,4.55999755859375,0.2562357894736842
95,2020-05-19,172.49000549316406,174.8699951171875,172.33999633789062,174.1199951171875,5574800,-0.01692694122340077,2.529998779296875,-0.2525975680060063
96,2020-05-20,176.02000427246094,176.8699951171875,174.2899932861328,174.61000061035156,5455600,0.020464946761432845,2.5800018310546875,-0.021381932984142926
97,2020-05-21,174.94000244140625,176.64999389648438,174.47000122070312,175.74000549316406,4059900,-0.006135676655154243,2.17999267578125,-0.25582887308453695
98,2020-05-22,174.92999267578125,175.1199951171875,173.2100067138672,174.86000061035156,3584800,-5.721827761118181e-05,1.9099884033203125,-0.11702258676322075
99,2020-05-26,180.33999633789065,181.69000244140625,178.67999267578125,179.99000549316406,7107600,0.030926678606432167,3.010009765625,0.9827047534032582
100,2020-05-27,185.7700042724609,185.97999572753903,183.8000030517578,184.6699981689453,7410500,0.03010983722322158,2.1799926757812216,0.042616354324948036
101,2020-05-28,185.1000061035156,187.27999877929688,183.9199981689453,187.2400054931641,6313100,-0.00360660038507965,3.3600006103515625,-0.14808717360501988
102,2020-05-29,185.5800018310547,185.8699951171875,182.52999877929688,183.0800018310547,10630200,0.00259316970130552,3.339996337890625,0.6838320318068778
103,2020-06-01,183.83999633789065,185.7100067138672,183.19000244140625,185.52999877929688,5718800,-0.009376039853410845,2.5200042724609375,-0.4620232921299693
104,2020-06-02,185.94000244140625,186.44000244140625,183.9900054931641,183.9900054931641,5803000,0.011423009929002914,2.449996948242159,0.014723368538854364
105,2020-06-03,190.82000732421875,191.6199951171875,187.80999755859372,188.75,6706700,0.02624505119252274,3.8099975585937784,0.1557297949336549
106,2020-06-04,192.0500030517578,192.1100006103516,189.69000244140625,190.41000366210935,5809800,0.006445842575874217,2.419998168945341,-0.13373193970208896
107,2020-06-05,200.66000366210935,201.4900054931641,196.22000122070312,197.8800048828125,10390400,0.044832077446159246,5.270004272460966,0.7884264518572068
108,2020-06-08,201.55999755859372,203.3300018310547,199.55999755859372,202.33999633789065,6695100,0.004485168344758206,3.770004272460966,-0.355645595934709
109,2020-06-09,196.07000732421875,198.7899932861328,195.8300018310547,197.1499938964844,7711800,-0.027237499012069732,2.959991455078125,0.15185732849397326
110,2020-06-10,191.50999450683597,196.33999633789065,191.3699951171875,195.8500061035156,7337400,-0.023257064553694917,4.970001220703153,-0.04854897689255422
111,2020-06-11,178.02000427246094,186.92999267578125,177.92999267578125,185.0,15372400,-0.07044013691877316,9.0,1.095074549567967
112,2020-06-12,181.2100067138672,184.0200042724609,178.22000122070312,184.0200042724609,9476800,0.017919348190352347,5.800003051757784,-0.38351851369987766
113,2020-06-15,181.5500030517578,181.7700042724609,176.0500030517578,177.0,8105200,0.0018762558649836336,5.720001220703097,-0.14473239912206648
