Date,Price,Close,High,Low,Open,Volume,Daily Return,Price Range,Volume Change
92,2020-05-14,149.6575927734375,150.19619384543068,145.33926802274937,147.35196781773453,2393900,0.0075705759427573405,4.856925822681319,-0.09664150943396221
93,2020-05-15,150.46075439453125,150.72533285771632,147.43699023066998,149.8938067241825,2824500,0.0053666613648506445,3.2883426270463474,0.17987384602531442
94,2020-05-18,149.26072692871094,153.4278454830873,148.4575329333194,152.45457148967694,2703700,-0.007975684228417879,4.970312549767897,-0.04276863161621525
95,2020-05-19,148.0701141357422,150.3662951135978,146.72831901740707,148.21186189053046,2339400,-0.00797673184010017,3.6379760961907266,-0.13474128046750744
96,2020-05-20,144.69674682617188,148.75992337678312,143.26045304720088,146.71889101750193,3780800,-0.02278222941381547,5.499470329582238,0.6161408908267076
97,2020-05-21,143.89352416992188,144.71560628462015,141.474512654783,144.71560628462015,3049800,-0.005551076122084053,3.2410936298371382,-0.1933453237410072
98,2020-05-22,142.83518981933594,144.15808204681466,141.89970676090493,143.83681027991895,2355000,-0.007354982489247819,2.2583752859097217,-0.22781821758803855
99,2020-05-26,139.81143188476562,143.40214363369796,139.0554872571424,142.78794673412915,5013400,-0.021169558694848822,4.346656376555558,1.128832271762208
100,2020-05-27,137.67588806152344,140.0098593634868,135.71043778521508,140.0098593634868,5376100,-0.01527445784978676,4.299421578271733,0.07234611241871791
101,2020-05-28,142.35328674316406,143.72344281253928,138.44128844174958,139.31061979556992,3982700,0.03397398591357126,5.282154370789698,-0.2591841669611801
102,2020-05-29,144.52662658691406,145.17862872606366,141.68240062550163,143.30767672300766,9466300,0.015267226303465442,3.4962281005620355,1.3768548974313908
103,2020-06-01,144.0541534423828,146.45427668278776,142.58006926938214,145.9629104856391,5233800,-0.0032691079539389767,3.874207413405628,-0.4471123881558793
104,2020-06-02,145.3865203857422,145.59440555298357,142.72181837934633,143.70455088238688,3269400,0.009249069960987066,2.8725871736372426,-0.3753295884443425
105,2020-06-03,144.12979125976562,145.8873569967254,142.5423199713888,144.89518023226512,3190300,-0.008644055326739952,3.345037025336609,-0.02419404172019335
106,2020-06-04,142.41001892089844,145.08415085208065,141.46509149354273,143.82741006193203,3328700,-0.011932108718367807,3.6190593585379247,0.04338150017239761
107,2020-06-05,140.99261474609375,143.40216792834605,140.17051815574644,141.45561991488958,4578800,-0.009952980735098316,3.23164977259961,0.37555201730405274
